Landroid/healthconnect/AggregateRecordsRequest$Builder;-><init>(Landroid/healthconnect/TimeRangeFilter;)V,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest$Builder;->addAggregationType(Landroid/healthconnect/datatypes/AggregationType;)Landroid/healthconnect/AggregateRecordsRequest$Builder;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest$Builder;->addDataOriginsFilter(Landroid/healthconnect/datatypes/DataOrigin;)Landroid/healthconnect/AggregateRecordsRequest$Builder;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest$Builder;->build()Landroid/healthconnect/AggregateRecordsRequest;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest;->getAggregationTypes()Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest;->getDataOriginsFilters()Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsRequest;->getTimeRangeFilter()Landroid/healthconnect/TimeRangeFilter;,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsResponse$$ExternalSyntheticLambda0;->accept(Ljava/lang/Object;Ljava/lang/Object;)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/healthconnect/AggregateRecordsResponse;->get(Landroid/healthconnect/datatypes/AggregationType;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ApplicationInfoResponse;->getApplicationInfoList()Ljava/util/List;,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest$Builder;-><init>()V,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest$Builder;->addDataOriginFilter(Landroid/healthconnect/datatypes/DataOrigin;)Landroid/healthconnect/ChangeLogTokenRequest$Builder;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest$Builder;->addRecordType(Ljava/lang/Class;)Landroid/healthconnect/ChangeLogTokenRequest$Builder;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest$Builder;->build()Landroid/healthconnect/ChangeLogTokenRequest;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest;->getDataOriginFilters()Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogTokenRequest;->getRecordTypes()Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsRequest$Builder;-><init>(Ljava/lang/String;)V,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsRequest$Builder;->build()Landroid/healthconnect/ChangeLogsRequest;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsRequest$Builder;->setPageSize(I)Landroid/healthconnect/ChangeLogsRequest$Builder;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsRequest;->getPageSize()I,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsRequest;->getToken()Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsResponse;->getDeletedRecordIds()Ljava/util/List;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsResponse;->getNextChangesToken()Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsResponse;->getUpsertedRecords()Ljava/util/List;,public-api,sdk,system-api,test-api
Landroid/healthconnect/ChangeLogsResponse;->hasMorePages()Z,public-api,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;-><init>()V,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->addDataOrigin(Landroid/healthconnect/datatypes/DataOrigin;)Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->addRecordType(Ljava/lang/Class;)Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->build()Landroid/healthconnect/DeleteUsingFiltersRequest;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->clearDataOrigins()Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->clearRecordTypes()Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;->setTimeRangeFilter(Landroid/healthconnect/TimeRangeFilter;)Landroid/healthconnect/DeleteUsingFiltersRequest$Builder;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest;->getDataOrigins()Ljava/util/Set;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest;->getRecordTypes()Ljava/util/Set;,sdk,system-api,test-api
Landroid/healthconnect/DeleteUsingFiltersRequest;->getTimeRangeFilter()Landroid/healthconnect/TimeRangeFilter;,sdk,system-api,test-api
Landroid/healthconnect/GetDataOriginPriorityOrderResponse;->getDataOriginInPriorityOrder()Ljava/util/List;,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;-><init>(I)V,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;-><init>(ILjava/lang/String;)V,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_INTERNAL:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_INVALID_ARGUMENT:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_IO:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_REMOTE:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_SECURITY:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->ERROR_UNKNOWN:I,public-api,sdk,system-api,test-api
Landroid/healthconnect/HealthConnectException;->getErrorCode()I,public-api,sdk,system-api,test-api
